CBSA,ZIP,Locale,State,CBSA Title
37980,08021,Clementon,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
33460,55441,Plymouth,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
11020,16684,Tipton,PA,"Altoona, PA"
47260,23523,Norfolk,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
37980,08059,Mount Ephraim,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
19740,80235,Denver,CO,"Denver-Aurora-Lakewood, CO"
47220,08349,Port Norris,NJ,"Vineland-Bridgeton, NJ"
26620,35804,Huntsville,AL,"Huntsville, AL"
36740,32809,Belle Isle,FL,"Orlando-Kissimmee-Sanford, FL"
26620,35811,Huntsville,AL,"Huntsville, AL"
